high,low,volume,close,open,time
367.99,367.99,250.0,367.99,367.99,1627272000
368.0,368.0,400.0,368.0,368.0,1627279200
368.0,366.6,44084.0,367.18,368.0,1627286400
367.83,367.15,33580.0,367.64,367.15,1627290000
367.82,367.2,32048.0,367.2,367.76,1627293600
367.98,367.16,177815.0,367.65,367.17,1627297200
368.476,367.05,162002.0,367.201,367.64,1627300800
368.1,366.601,5341218.0,368.05,367.19,1627304400
368.5812,367.63,4658910.0,367.86,368.05,1627308000
368.76,367.66,3086022.0,368.7115,367.85,1627311600
368.89,367.67,2621705.0,367.99,368.73,1627315200
368.57,367.96,2122318.0,368.19,367.985,1627318800
368.58,367.88,2603328.0,368.5,368.18,1627322400
368.65,367.97,4973217.0,368.47,368.5,1627326000
368.73,368.35,2446576.0,368.621,368.47,1627329600
368.76,368.49,27023.0,368.65,368.7,1627333200
368.65,368.41,42064.0,368.55,368.65,1627336800
368.599,368.34,26735.0,368.35,368.59,1627340400
368.18,367.13,3777.0,367.19,368.09,1627369200
368.0,367.27,31641.0,367.59,368.0,1627372800
368.12,367.41,22735.0,368.03,367.51,1627376400
368.28,367.96,19358.0,368.28,368.05,1627380000
368.82,368.29,113364.0,368.51,368.29,1627383600
368.766,368.28,195283.0,368.62,368.51,1627387200
368.57,366.52,5192050.0,366.65,368.57,1627390800
367.038,362.8675,11003602.0,363.52,366.65,1627394400
364.08,361.22,9344670.0,362.16,363.47,1627398000
362.25,360.87,7277495.0,361.29,362.15,1627401600
361.61,360.16,6748175.0,360.99,361.26,1627405200
363.7472,360.97,6807636.0,363.715,360.98,1627408800
364.52,363.051,7493704.0,364.44,363.71,1627412400
364.87,362.34,2990927.0,362.77,364.45,1627416000
362.81,361.8,230479.0,362.38,362.81,1627419600
363.76,362.48,222118.0,363.62,362.48,1627423200
363.81,363.44,160299.0,363.74,363.6,1627426800
363.84,363.71,3271.0,363.84,363.71,1627444800
363.84,363.41,1437.0,363.41,363.84,1627448400
365.58,364.0,67897.0,365.56,364.0,1627459200
365.62,365.22,98315.0,365.3,365.61,1627462800
365.36,364.57,62441.0,365.07,365.36,1627466400
365.64,364.82,228591.0,365.38,364.99,1627470000
366.12,365.33,284084.0,365.73,365.34,1627473600
366.2,363.24,7510051.0,365.13,365.74,1627477200
367.45,365.01,8109773.0,366.57,365.12,1627480800
367.12,365.2932,4343686.0,365.8975,366.56,1627484400
366.36,365.36,3175449.0,365.57,365.8912,1627488000
365.81,364.4,3265954.0,364.975,365.585,1627491600
366.635,363.77,6592626.0,365.83,364.98,1627495200
366.58,365.57,5590489.0,365.79,365.91,1627498800
365.93,364.96,1731862.0,365.22,365.79,1627502400
365.83,365.0,50981.0,365.14,365.15,1627506000
365.36,365.18,53642.0,365.25,365.19,1627509600
365.83,365.05,172185.0,365.32,365.3,1627513200
365.99,365.76,800.0,365.76,365.99,1627538400
366.0,365.18,2538.0,366.0,365.73,1627542000
366.0,365.405,41625.0,365.58,366.0,1627545600
365.85,365.49,11132.0,365.84,365.6,1627549200
365.78,364.7496,68524.0,365.09,365.67,1627552800
365.61,365.07,190995.0,365.61,365.07,1627556400
366.13,365.3,246021.0,365.47,365.57,1627560000
367.59,365.25,4492612.0,366.96,365.56,1627563600
367.595,366.17,4211269.0,367.37,366.97,1627567200
367.6794,366.81,2306775.0,366.905,367.38,1627570800
367.57,366.72,1831575.0,366.95,366.89,1627574400
367.401,366.845,1581782.0,367.1901,366.96,1627578000
367.33,366.6472,2093003.0,366.935,367.21,1627581600
366.9808,366.37,4201235.0,366.48,366.96,1627585200
366.75,363.3,3062737.0,363.45,366.46,1627588800
366.48,363.05,1343290.0,363.05,363.4,1627592400
364.07,363.18,329736.0,363.7,363.18,1627596000
363.74,362.31,150036.0,362.47,363.71,1627599600
362.66,362.07,692.0,362.66,362.07,1627617600
362.0,361.3,4441.0,361.64,362.0,1627621200
361.85,361.59,1172.0,361.8,361.59,1627624800
361.9,361.9,200.0,361.9,361.9,1627628400
362.79,361.66,91484.0,362.46,361.85,1627632000
362.5,362.15,69719.0,362.24,362.43,1627635600
363.24,362.21,115695.0,363.23,362.3,1627639200
363.28,362.33,303475.0,362.54,363.22,1627642800
366.754,361.94,327423.0,362.56,362.59,1627646400
364.499,362.1,6487584.0,364.37,362.5,1627650000
365.17,363.69,5413550.0,363.98,364.39,1627653600
364.39,363.46,3233918.0,364.05,363.96,1627657200
365.07,363.98,2175415.0,365.06,364.03,1627660800
365.12,364.46,3052481.0,364.8,365.07,1627664400
364.8699,363.85,2535227.0,364.52,364.81,1627668000
364.81,364.04,8585292.0,364.51,364.52,1627671600
364.91,364.51,3812265.0,364.82,364.51,1627675200
364.94,364.57,98671.0,364.85,364.9,1627678800
364.87,364.8,9930.0,364.86,364.85,1627682400
365.0,364.81,12530.0,365.0,364.88,1627686000
